TOTAL REWARD,TILT,CRASH,GOAL,DISTANCEN_STEPS,DONE,ERRORE
-0.03617731097544821,-1.855613815059707e-21,0,0,-0.03617731097544821,1,False,3.617731097544821
-0.07240191579825758,-2.637229987802581e-17,0,0,-0.03622460482280936,2,False,3.6224604822809363
-0.10862656072498104,-0.013541866409526104,0,0,-0.03622464492672346,3,False,3.6224644926723464
-0.1448438509407204,-0.010568425011881022,0,0,-0.036217290215739356,4,False,3.6217290215739353
-0.18104106985735516,-0.019609228774714396,0,0,-0.036197218916634764,5,False,3.619721891663476
-0.21720569920288918,-0.08853926838705167,0,0,-0.03616462934553402,6,False,3.6164629345534025
-0.2533420433027086,-0.01564983128088966,0,0,-0.03613634409981939,7,False,3.613634409981939
-0.28945093643833436,-0.049365097979121295,0,0,-0.03610889313562575,8,False,3.6108893135625753
-0.32555317366356173,-0.0663491126376893,0,0,-0.036102237225227374,9,False,3.610223722522737
-0.36167072495059205,-0.016715066153888274,0,0,-0.036117551287030286,10,False,3.6117551287030283
-0.3978063795505382,-0.031086085872503194,0,0,-0.03613565459994619,11,False,3.6135654599946196
-0.038668769017595514,-2.946980938614878e-12,0,0,-0.038668769017595514,1,False,3.8668769017595515
-0.0773126937996036,-0.0031254454051521316,0,0,-0.038643924782008086,2,False,3.864392478200809
-0.11589216184332482,-0.010903289382170682,0,0,-0.03857946804372123,3,False,3.857946804372123
-0.15442783724564949,-0.03502026499250934,0,0,-0.038535675402324665,4,False,3.8535675402324667
-0.1928934158861311,-0.02998019302722434,0,0,-0.038465578640481606,5,False,3.846557864048161
-0.23127524481924222,-0.07106995980113155,0,0,-0.03838182893311111,6,False,3.838182893311111
-0.2696048803118347,-0.09202679736811653,0,0,-0.03832963549259249,7,False,3.832963549259249
-0.3079135544327341,-0.005041701435674237,0,0,-0.0383086741208994,8,False,3.83086741208994
-0.34623616303238003,-0.08948589636919599,0,0,-0.03832260859964594,9,False,3.8322608599645935
-0.38460363007276716,-0.09743957691973106,0,0,-0.038367467040387127,10,False,3.836746704038713
-0.42302139677177536,-0.049322620177127206,0,0,-0.03841776669900821,11,False,3.8417766699008213
-0.4614634660945194,-0.07060305802559826,0,0,-0.03844206932274405,12,False,3.844206932274405
-0.49990953934636373,-0.014599568849693278,0,0,-0.038446073251844355,13,False,3.8446073251844353
-0.5383510768900285,-0.036155680077736375,0,0,-0.03844153754366479,14,False,3.844153754366479
-0.5767869382201382,-0.04978907029649622,0,0,-0.03843586133010965,15,False,3.8435861330109646
-0.6152513617525031,-0.0454294416954281,0,0,-0.038464423532364886,16,False,3.8464423532364886
-0.6537742373376098,-0.016793491950469603,0,0,-0.03852287558510667,17,False,3.852287558510667
-0.6923294034800034,-0.018917847262207663,0,0,-0.038555166142393606,18,False,3.855516614239361
-0.7308986682776492,-0.05334704742773466,0,0,-0.03856926479764576,19,False,3.856926479764576
-0.7694460857356936,-0.07297674313894924,0,0,-0.038547417458044485,20,False,3.854741745804448
-0.8079624162733936,-0.13726938288027857,0,0,-0.03851633053770001,21,False,3.851633053770001
