Wall time,Step,Value
1685560663.8552673,800,-6.90777587890625
1685560707.1108327,1600,-6.595560550689697
1685560753.5146215,2400,-6.816524982452393
1685560798.8562539,3200,-6.841634750366211
1685560844.0415125,4000,-6.533276081085205
1685560889.5979586,4800,-6.340034008026123
1685560934.6140654,5600,-6.469461441040039
1685560979.546596,6400,-6.388633728027344
1685561025.242581,7200,-6.483321189880371
1685561070.1981692,8000,-6.6575751304626465
1685561115.9053495,8800,-6.8208723068237305
1685561162.0480938,9600,-6.750387668609619
1685561207.8915,10400,-6.710424900054932
1685561253.3003745,11200,-6.684535980224609
1685561298.438991,12000,-6.637487411499023
1685561343.4828825,12800,-6.543457984924316
1685561388.6189718,13600,-6.478227138519287
1685561434.1904595,14400,-6.35609245300293
1685561479.34937,15200,-6.259429454803467
1685561524.9203365,16000,-6.173529148101807
1685561570.8453784,16800,-6.088065147399902
1685561618.2309058,17600,-6.036707401275635
1685561666.6473718,18400,-5.941762447357178
1685561714.79619,19200,-5.867469310760498
1685561763.4090679,20000,-5.7431817054748535
1685561811.978567,20800,-5.577757835388184
1685561860.3854477,21600,-5.446016788482666
1685561908.8399274,22400,-5.248826026916504
1685561966.0703883,23200,-5.1404008865356445
1685562010.165244,23893,-4.003871440887451
1685562057.1407385,24693,-4.001122951507568
1685562097.2518206,25377,-2.899578332901001
1685562144.3679676,26177,-2.8845832347869873
1685562191.6824386,26977,-2.7841854095458984
1685562238.4172242,27777,-2.6101951599121094
1685562285.4263306,28577,-2.448819637298584
1685562332.6260426,29377,-2.351928234100342
1685562380.0741386,30177,-2.2691915035247803
1685562420.7796767,30862,-1.1823946237564087
1685562468.6060424,31662,-1.151572823524475
1685562515.768372,32462,-1.1265817880630493
1685562562.9796264,33262,-1.0771586894989014
1685562610.2170506,34062,-1.142365574836731
1685562657.5880244,34862,-1.143776297569275
1685562704.8431888,35662,-1.1584818363189697
1685562725.0419273,35932,2.980011224746704
1685562770.9346054,36732,3.054891586303711
1685562817.6298242,37532,3.0968563556671143
1685562856.9002764,38198,4.0475006103515625
1685562903.748613,38998,4.000701904296875
1685562945.0039742,39702,5.012527942657471
1685562969.5592573,40104,9.073102951049805
1685562999.5543606,40601,12.084052085876465
1685563032.76526,41161,16.16766929626465
1685563069.4507697,41802,17.163129806518555
1685563105.0400436,42407,19.288530349731445
1685563123.0870419,42700,22.43993377685547
1685563156.982412,43273,25.594154357910156
1685563178.9502769,43630,29.722137451171875
1685563222.1488774,44367,31.742935180664062
1685563257.153881,44954,35.85958480834961
1685563282.8437288,45384,38.89925003051758
1685563304.8140545,45748,43.00283432006836
1685563328.348484,46140,46.116695404052734
1685563351.1325345,46513,50.27633285522461
1685563368.2498553,46788,54.414737701416016
1685563392.5041366,47199,58.52434158325195
1685563428.56607,47802,60.58908462524414
1685563451.6745896,48170,64.72306060791016
1685563472.9164903,48516,68.86238861083984
1685563506.8840237,49082,66.72075653076172
1685563531.4446254,49491,70.77591705322266
1685563554.9263,49868,74.8288803100586
1685563576.1393926,50212,77.98908233642578
1685563594.573384,50509,82.09963989257812
1685563627.1594036,51059,84.07272338867188
1685563651.6000192,51450,84.064697265625
1685563674.7734118,51830,85.08802032470703
1685563696.2674415,52180,85.12334442138672
1685563715.8979092,52504,87.14767456054688
1685563737.2726705,52853,89.17575073242188
1685563756.0439641,53156,89.16175842285156
1685563774.7923062,53464,90.1794662475586
1685563796.566565,53822,90.17302703857422
1685563816.2910564,54135,92.25703430175781
1685563839.489268,54521,92.24717712402344
1685563860.542266,54867,93.29545593261719
1685563880.89804,55199,93.30681610107422
1685563900.181908,55512,93.30718994140625
1685563923.2326732,55889,93.29869079589844
1685563940.9811146,56179,93.30408477783203
1685563962.0810974,56519,93.3074951171875
1685563984.3898456,56889,95.42173767089844
1685564008.6455069,57288,95.41856384277344
1685564031.8465712,57665,95.41427612304688
1685564056.5384045,58074,97.53750610351562
1685564077.7495315,58423,97.54339599609375
1685564101.5729384,58775,97.54517364501953
1685564122.4422874,59107,97.54369354248047
1685564143.906944,59459,97.52779388427734
1685564164.2083683,59792,98.6031723022461
1685564186.517914,60156,98.61732482910156
1685564205.1846313,60463,98.62659454345703
1685564225.0444536,60787,98.62541961669922
1685564246.142835,61124,98.62277221679688
1685564267.4444413,61473,98.6317138671875
1685564295.2550259,61938,98.60354614257812
1685564318.2614331,62313,98.6003646850586
1685564340.8186796,62693,98.61648559570312
1685564360.6474872,63014,98.61506652832031
1685564383.0053968,63388,98.62283325195312
1685564405.344565,63752,98.6238021850586
1685564425.4495363,64079,98.6183090209961
1685564449.46722,64478,98.60841369628906
1685564469.835012,64812,98.60648345947266
1685564490.892257,65154,98.58682250976562
1685564514.0486963,65537,98.5853500366211
1685564532.7041862,65840,98.60467529296875
1685564559.930604,66298,97.552490234375
1685564581.9242263,66651,97.55643463134766
1685564601.3418677,66970,97.56086730957031
1685564629.081154,67436,96.5304946899414
1685564649.950644,67784,96.53544616699219
1685564678.8086917,68281,95.50267028808594
1685564697.9708602,68580,95.51654815673828
1685564717.1915128,68893,95.51426696777344
1685564736.1895492,69204,95.52013397216797
1685564756.442361,69540,95.51702880859375
1685564783.4385545,69982,95.4981689453125
1685564813.5311007,70480,94.46762084960938
1685564839.1466234,70905,93.43899536132812
1685564861.9502988,71280,93.45276641845703
1685564885.9550672,71686,93.4329833984375
1685564911.347405,72101,93.41946411132812
1685564930.5079393,72417,93.42584228515625
1685564957.6114454,72878,93.42929077148438
1685564982.3460052,73267,93.42691040039062
1685565004.1011462,73621,93.42024230957031
1685565022.8236542,73919,93.4326400756836
1685565041.176351,74217,93.4464111328125
1685565063.918265,74578,93.43824005126953
1685565084.5817971,74915,93.43135833740234
1685565105.0492191,75252,93.41433715820312
1685565124.654481,75569,94.46280670166016
1685565147.5111449,75943,94.46794891357422
1685565170.502774,76329,94.44575500488281
1685565195.1415193,76739,95.47183990478516
1685565218.7788188,77123,95.4645767211914
1685565245.495194,77566,96.46660614013672
1685565265.3862793,77884,96.46235656738281
1685565286.484378,78234,96.45970153808594
1685565307.6964223,78584,96.45451354980469
1685565329.2177498,78940,96.4523696899414
1685565351.8601346,79303,96.4611587524414
1685565374.9861999,79684,97.48246765136719
1685565397.7867377,80051,98.49346923828125
1685565419.4773533,80408,98.49994659423828
1685565442.2028594,80769,98.5070571899414
1685565462.55106,81101,98.52007293701172
1685565482.6351023,81428,98.51338958740234
1685565507.413626,81799,98.50238800048828
1685565529.3799624,82161,98.5003433227539
1685565549.4260237,82486,98.50621032714844
1685565568.4320853,82787,98.50835418701172
1685565588.9932394,83124,98.50409698486328
1685565610.262993,83466,98.51179504394531
1685565630.1626189,83789,98.5256576538086
1685565651.4778361,84135,98.52997589111328
1685565673.2071264,84492,98.52262115478516
1685565694.3152146,84836,98.51848602294922
1685565717.078874,85210,98.53005981445312
1685565737.5622733,85538,98.53901672363281
1685565759.704114,85895,98.54357147216797
1685565779.8075275,86217,98.57537841796875
1685565801.7068238,86575,98.57213592529297
1685565821.159854,86891,98.57979583740234
1685565841.2477283,87218,98.58171844482422
1685565863.5196867,87583,98.57970428466797
1685565883.5777264,87889,98.58435821533203
1685565900.9872074,88173,98.60839080810547
1685565919.8842864,88482,98.62682342529297
1685565937.8998303,88779,98.63636016845703
1685565956.1100924,89074,98.6443099975586
1685565976.9559085,89418,98.63662719726562
1685565997.6189773,89756,98.62816619873047
1685566017.9356534,90085,98.64632415771484
1685566038.39638,90417,98.65264892578125
1685566058.037876,90734,98.65563201904297
1685566079.3002105,91084,98.64269256591797
1685566101.9733796,91451,98.62953186035156
1685566124.1185775,91775,98.63400268554688
1685566145.7176962,92137,98.61289978027344
1685566165.0648882,92448,98.60775756835938
1685566183.6419713,92747,98.62515258789062
1685566202.8607156,93061,98.63004302978516
1685566222.82794,93393,98.62696075439453
1685566242.4297304,93704,98.63937377929688
1685566260.2936153,93976,98.65122985839844
1685566281.049633,94308,98.65315246582031
1685566302.8095767,94656,98.64830780029297
1685566322.7402108,94985,98.63580322265625
1685566345.8382986,95369,98.6203384399414
1685566368.4914412,95746,98.60977172851562
1685566390.107762,96100,98.60247039794922
1685566408.404541,96399,98.59860229492188
1685566430.997848,96776,98.58858489990234
1685566450.689249,97096,98.58045196533203
1685566472.217146,97453,98.57569122314453
1685566493.4743147,97801,98.57901763916016
1685566515.0933514,98162,98.58325958251953
1685566535.2108593,98491,98.58760833740234
1685566553.9796727,98796,98.59221649169922
1685566577.3051534,99184,98.5957260131836
1685566597.9901118,99524,98.59883880615234
1685566619.7784655,99887,98.60860443115234
1685566639.718289,100210,98.60733032226562
1685566668.2465036,100689,98.570068359375
1685566687.7433803,101004,98.57427978515625
1685566708.2235415,101346,98.56412506103516
1685566731.2018797,101728,98.5528793334961
1685566752.0007946,102071,98.55766296386719
1685566774.5050693,102447,98.53115844726562
1685566793.2894588,102742,98.53080749511719
1685566820.73977,103199,97.50709533691406
1685566847.6615684,103646,96.48863983154297
1685566868.8200374,103990,96.48711395263672
1685566889.134915,104322,96.49254608154297
1685566910.4955485,104675,96.50199890136719
1685566928.2556577,104962,96.52234649658203
1685566950.051189,105326,96.50914001464844
1685566969.5332696,105643,96.51886749267578
1685566992.0731285,106017,96.512939453125
1685567012.9354315,106359,96.516357421875
1685567033.4983513,106703,96.51909637451172
1685567053.6871817,107035,96.51329803466797
1685567074.9943795,107364,96.49966430664062
1685567094.829536,107673,96.49454498291016
1685567115.29198,108000,96.49356079101562
1685567135.9420714,108335,96.49464416503906
1685567154.6983287,108638,96.49270629882812
1685567175.612451,108984,96.47711181640625
1685567193.3142679,109270,96.54308319091797
1685567215.2578466,109639,96.5235824584961
1685567235.9728384,109976,96.51055908203125
1685567255.4573746,110295,96.51411437988281
1685567276.1641417,110640,96.51161193847656
1685567297.4461339,110991,96.5143814086914
1685567318.5123522,111306,96.51084899902344
1685567338.0713983,111610,97.53929901123047
1685567360.3349926,111976,98.55333709716797
1685567381.4126701,112318,98.55755615234375
1685567402.7602942,112671,98.55887603759766
1685567423.4851646,113007,98.55355072021484
