Wall time,Step,Value
1685794542.0699654,800,200.0
1685794590.3273346,1600,200.0
1685794636.9847972,2400,200.0
1685794683.9200115,3200,200.0
1685794731.6465201,4000,200.0
1685794781.2158751,4800,200.0
1685794829.0027466,5600,200.0
1685794876.1986508,6400,200.0
1685794923.6542838,7200,200.0
1685794971.0132093,8000,200.0
1685795019.5166824,8800,200.0
1685795067.3987749,9600,200.0
1685795116.0900297,10400,200.0
1685795164.092459,11200,200.0
1685795212.2128136,12000,200.0
1685795262.7708504,12800,200.0
1685795311.647185,13600,200.0
1685795359.9081552,14400,200.0
1685795407.2816675,15200,200.0
1685795455.2265942,16000,200.0
1685795503.8511758,16800,200.0
1685795553.82491,17600,200.0
1685795604.9656153,18400,200.0
1685795654.968857,19200,200.0
1685795703.2911768,20000,200.0
1685795750.984297,20800,200.0
1685795798.1502743,21600,200.0
1685795846.268033,22400,200.0
1685795895.4105442,23200,200.0
1685795944.612954,24000,200.0
1685795993.5775564,24800,200.0
1685796042.8566656,25600,200.0
1685796091.8160274,26400,200.0
1685796141.2624795,27200,200.0
1685796189.5309904,28000,200.0
1685796237.6551018,28800,200.0
1685796285.9828722,29600,200.0
1685796333.0258296,30400,200.0
1685796379.7354429,31200,200.0
1685796421.907485,31877,198.77000427246094
1685796475.977051,32677,198.77000427246094
1685796523.7896013,33477,198.77000427246094
1685796570.8556662,34277,198.77000427246094
1685796619.0437968,35077,198.77000427246094
1685796668.1827238,35877,198.77000427246094
1685796715.8609118,36677,198.77000427246094
1685796763.318412,37477,198.77000427246094
1685796813.4204643,38277,198.77000427246094
1685796860.2387698,39077,198.77000427246094
1685796908.3318274,39877,198.77000427246094
1685796975.2174242,40677,198.77000427246094
1685797030.469551,41477,198.77000427246094
1685797081.7723365,42277,198.77000427246094
1685797149.4285226,43077,198.77000427246094
1685797199.625546,43877,198.77000427246094
1685797242.8732977,44569,197.69000244140625
1685797304.145421,45369,197.69000244140625
1685797347.022468,46049,196.49000549316406
1685797403.9266086,46849,196.49000549316406
1685797454.0635867,47649,196.49000549316406
1685797506.148539,48449,196.49000549316406
1685797561.6572254,49249,196.49000549316406
1685797645.4875844,50049,196.49000549316406
1685797724.4268882,50849,196.49000549316406
1685797817.790476,51550,196.72999572753906
1685797885.915649,52350,196.72999572753906
1685797934.8999553,53150,196.72999572753906
1685797985.0295534,53950,196.72999572753906
1685798049.3734572,54750,196.72999572753906
1685798104.9224784,55550,196.72999572753906
1685798184.4955688,56350,196.72999572753906
1685798239.8719895,57150,196.72999572753906
1685798304.0261269,57950,196.72999572753906
1685798373.9750006,58750,196.72999572753906
1685798425.2298877,59550,196.72999572753906
1685798490.7590158,60335,196.5800018310547
1685798565.069696,61135,196.5800018310547
1685798626.7366822,61935,196.5800018310547
1685798688.5817494,62735,196.5800018310547
1685798731.574473,63408,195.30999755859375
1685798798.9796004,64208,196.38999938964844
1685798856.81598,65008,196.38999938964844
1685798923.8519394,65808,197.58999633789062
1685798999.6566157,66608,197.58999633789062
1685799052.315008,67408,197.58999633789062
1685799100.690974,68206,197.57000732421875
1685799146.4833374,68989,197.39999389648438
1685799191.247762,69750,197.00999450683594
1685799232.0821238,70453,196.0399932861328
1685799271.1638062,71118,195.67999267578125
1685799308.139233,71739,193.88999938964844
1685799346.9434068,72417,192.6699981689453
1685799384.9606535,73070,191.1999969482422
1685799414.9118578,73556,188.05999755859375
1685799453.334831,74231,186.80999755859375
1685799488.4069107,74835,184.85000610351562
1685799522.4034567,75405,182.5500030517578
1685799562.7114925,76111,181.61000061035156
1685799598.353113,76669,179.19000244140625
1685799642.2773385,77319,177.69000244140625
1685799719.496573,78081,177.4600067138672
1685799787.264833,78879,177.44000244140625
1685799870.5133696,79679,177.44000244140625
1685799930.9548802,80479,177.44000244140625
1685799981.8618836,81154,177.4600067138672
1685800036.7236907,81862,176.5399932861328
1685800090.9762783,82570,175.6199951171875
1685800148.9089742,83360,175.52000427246094
1685800204.1632867,84089,174.80999755859375
1685800248.5557985,84689,172.80999755859375
1685800300.8598347,85388,171.82000732421875
1685800352.0220854,86059,170.6999969482422
1685800399.0882823,86660,169.10000610351562
1685800460.0667176,87460,170.07000732421875
1685800511.2471068,88128,170.10000610351562
1685800556.7204225,88726,169.8699951171875
1685800614.7414682,89526,171.08999633789062
