Wall time,Step,Value
1685794542.0699863,800,-8.777058601379395
1685794590.3273897,1600,-8.10745620727539
1685794636.9850645,2400,-8.333066940307617
1685794683.9201052,3200,-8.178821563720703
1685794731.646707,4000,-8.096972465515137
1685794781.21594,4800,-7.9142560958862305
1685794829.0029297,5600,-7.785034656524658
1685794876.1988246,6400,-7.826167583465576
1685794923.6543612,7200,-7.848381996154785
1685794971.0133822,8000,-7.815243244171143
1685795019.5167234,8800,-7.821774005889893
1685795067.3990002,9600,-7.874473571777344
1685795116.0901055,10400,-7.872289180755615
1685795164.0925202,11200,-7.8513970375061035
1685795212.213091,12000,-7.866958141326904
1685795262.7709634,12800,-7.81382942199707
1685795311.647415,13600,-7.829178810119629
1685795359.908211,14400,-7.808925151824951
1685795407.2818303,15200,-7.830031394958496
1685795455.2266424,16000,-7.859450817108154
1685795503.8514664,16800,-7.844810962677002
1685795553.8251867,17600,-7.8237714767456055
1685795604.965878,18400,-7.827390670776367
1685795654.9690902,19200,-7.816699504852295
1685795703.2912347,20000,-7.827316761016846
1685795750.984537,20800,-7.812506675720215
1685795798.1503217,21600,-7.841023921966553
1685795846.2681878,22400,-7.811355113983154
1685795895.4107046,23200,-7.812492370605469
1685795944.613103,24000,-7.81290864944458
1685795993.5776176,24800,-7.981602191925049
1685796042.8567152,25600,-8.23567008972168
1685796091.8161912,26400,-8.421194076538086
1685796141.2627172,27200,-8.396441459655762
1685796189.531033,28000,-8.395713806152344
1685796237.6553576,28800,-8.48349666595459
1685796285.9829123,29600,-8.508650779724121
1685796333.0259893,30400,-8.547582626342773
1685796379.7354856,31200,-8.573939323425293
1685796421.9077356,31877,-7.566784381866455
1685796475.9772508,32677,-7.743127822875977
1685796523.7898822,33477,-7.888399124145508
1685796570.855898,34277,-8.039520263671875
1685796619.044107,35077,-8.155949592590332
1685796668.182933,35877,-8.259324073791504
1685796715.861139,36677,-8.407673835754395
1685796763.318478,37477,-8.522257804870605
1685796813.4207487,38277,-8.654611587524414
1685796860.2388299,39077,-8.791627883911133
1685796908.3321037,39877,-8.950725555419922
1685796975.217648,40677,-9.039395332336426
1685797030.4698348,41477,-9.131011962890625
1685797081.7726088,42277,-9.209358215332031
1685797149.4286923,43077,-9.477872848510742
1685797199.6257675,43877,-9.66231918334961
1685797242.8737679,44569,-8.572230339050293
1685797304.1456065,45369,-8.425321578979492
1685797347.0227137,46049,-7.241118431091309
1685797403.9267988,46849,-7.315509796142578
1685797454.063752,47649,-7.408728122711182
1685797506.1487281,48449,-7.422970294952393
1685797561.6574934,49249,-7.535834312438965
1685797645.4877918,50049,-7.883302211761475
1685797724.4271116,50849,-8.354957580566406
1685797817.7907135,51550,-11.235694885253906
1685797885.9157991,52350,-11.397285461425781
1685797934.9002037,53150,-11.340106010437012
1685797985.029796,53950,-11.269789695739746
1685798049.3736687,54750,-11.20986270904541
1685798104.9227104,55550,-11.327750205993652
1685798184.4957533,56350,-11.821069717407227
1685798239.872188,57150,-11.981424331665039
1685798304.0265493,57950,-12.333271026611328
1685798373.9752426,58750,-12.965059280395508
1685798425.2302942,59550,-12.904728889465332
1685798490.7592237,60335,-12.013014793395996
1685798565.0699718,61135,-12.309036254882812
1685798626.7368555,61935,-12.509342193603516
1685798688.5819821,62735,-12.481622695922852
1685798731.5746431,63408,-11.331695556640625
1685798798.9798028,64208,-12.569781303405762
1685798856.816348,65008,-12.627578735351562
1685798923.8521276,65808,-13.863248825073242
1685798999.656817,66608,-14.361649513244629
1685799052.3152385,67408,-14.422270774841309
1685799100.6911578,68206,-13.459715843200684
1685799146.4834113,68989,-12.455382347106934
1685799191.2479322,69750,-11.184313774108887
1685799232.0822284,70453,-9.837252616882324
1685799271.163952,71118,-5.948398113250732
1685799308.139279,71739,-2.6632628440856934
1685799346.9434855,72417,-0.6442893743515015
1685799384.960813,73070,1.3593679666519165
1685799414.9119232,73556,4.453667640686035
1685799453.3349724,74231,6.588192462921143
1685799488.4069862,74835,9.150712013244629
1685799522.403531,75405,11.394957542419434
1685799562.7116787,76111,12.808266639709473
1685799598.3533099,76669,15.612771987915039
1685799642.2776206,77319,17.739286422729492
1685799719.4969487,78081,17.84971046447754
1685799787.2652085,78879,19.212583541870117
1685799870.513712,79679,19.12650489807129
1685799930.9551044,80479,19.234323501586914
1685799981.8619666,81154,19.226099014282227
1685800036.7240407,81862,22.442136764526367
1685800090.9765184,82570,23.571990966796875
1685800148.9092808,83360,24.76092529296875
1685800204.1635435,84089,27.32977867126465
1685800248.555927,84689,31.446096420288086
1685800300.8600478,85388,31.573627471923828
1685800352.0222814,86059,32.727561950683594
1685800399.0884967,86660,34.85263442993164
1685800460.067035,87460,33.90631866455078
1685800511.2472696,88128,33.901981353759766
1685800556.7204754,88726,33.95053482055664
1685800614.7417126,89526,31.98838233947754
1685800667.944963,90198,31.992835998535156
1685800706.0004778,90656,32.08278274536133
1685800742.0816898,91173,32.231380462646484
1685800783.559552,91716,33.38962936401367
1685800821.7412705,92178,34.48508071899414
1685800874.618314,92916,34.590171813964844
1685800911.0556188,93349,35.66015625
1685800944.2784822,93798,37.689796447753906
1685800974.9090104,94191,40.92277145385742
1685801002.930854,94541,44.098297119140625
1685801068.4077322,95323,45.34855651855469
1685801122.6225026,95970,46.47914505004883
1685801162.3909726,96541,47.586830139160156
1685801210.4812155,97174,45.58319854736328
1685801247.247561,97604,47.69594192504883
1685801273.2856705,97938,50.89413070678711
1685801304.4202108,98370,52.96674728393555
1685801345.5226705,98916,52.05827331542969
1685801375.1746492,99269,55.203285217285156
1685801405.429139,99693,56.33247756958008
1685801448.446906,100191,56.38711166381836
1685801471.299338,100486,60.635353088378906
1685801502.1300738,100917,61.739356994628906
1685801552.1437893,101513,61.73334884643555
1685801591.9442568,102023,64.84848022460938
1685801616.170757,102322,67.03704071044922
1685801653.8459818,102795,67.02359771728516
1685801690.2221346,103276,68.04859161376953
1685801735.0053968,103869,67.99129486083984
1685801760.7983327,104174,69.0435562133789
1685801792.9607782,104626,71.10897064208984
1685801838.228218,105186,70.05120849609375
1685801878.78152,105679,69.06733703613281
1685801910.2239928,106086,68.0382308959961
1685801949.372403,106622,65.89684295654297
1685801982.986948,107026,69.12921905517578
1685802016.848487,107478,71.19794464111328
1685802067.1670713,108095,71.14993286132812
1685802098.9587407,108488,74.31481170654297
1685802134.5158365,108937,75.26610565185547
1685802166.1969712,109369,74.22159576416016
1685802221.4891713,110074,72.056640625
1685802268.390118,110671,71.01710510253906
1685802295.8558753,110968,71.01963806152344
1685802335.984569,111491,71.89907836914062
1685802369.9888048,111892,71.92020416259766
1685802409.5280385,112389,70.8190689086914
1685802451.3575194,112962,70.70022583007812
1685802502.459389,113567,70.71796417236328
1685802538.5602763,113993,71.72036743164062
1685802563.4682765,114290,71.7510757446289
1685802624.1688795,114976,69.41692352294922
1685802667.086071,115459,70.44691467285156
1685802722.1226306,116072,70.43461608886719
1685802774.6154773,116615,69.33626556396484
1685802812.981088,117085,69.26998901367188
1685802840.2079165,117392,71.33454132080078
1685802871.5423687,117748,72.36621856689453
1685802913.5878596,118285,72.2823257446289
1685802968.7800782,118946,73.25064849853516
1685803003.5136724,119347,72.2174301147461
1685803114.444559,120052,68.6774673461914
1685803152.4537446,120491,69.70064544677734
1685803191.8578942,120972,69.6689682006836
1685803223.506965,121309,69.7275619506836
1685803264.738462,121821,70.69220733642578
1685803298.4439278,122202,72.89238739013672
1685803328.1397727,122527,74.98052978515625
1685803354.2399986,122804,75.01468658447266
1685803387.7492857,123195,75.12946319580078
1685803416.1478965,123513,76.18700408935547
1685803453.2053328,123932,76.25646209716797
1685803502.0461357,124523,76.2462387084961
1685803534.4871798,124846,77.30902099609375
1685803570.2766018,125263,76.33226013183594
1685803594.9733875,125581,76.28825378417969
1685803624.0953057,125941,79.66063690185547
1685803657.279921,126326,79.6824951171875
1685803685.0829241,126671,80.7874526977539
1685803711.8460846,126998,81.86360168457031
1685803746.8009272,127330,82.98040008544922
1685803779.04954,127693,82.93609619140625
1685803806.6446085,128024,82.96924591064453
1685803835.5737426,128375,84.06246185302734
1685803873.4386415,128844,84.16304016113281
1685803902.6636767,129203,85.18991088867188
1685803935.2835624,129601,89.73249053955078
1685803962.1650894,129925,90.83487701416016
1685803991.5912933,130289,90.85704803466797
1685804023.243022,130662,90.84715270996094
1685804048.5306952,130953,90.93748474121094
1685804075.8643048,131281,90.93124389648438
1685804106.4186869,131637,90.9100570678711
1685804132.3324573,131943,90.8917007446289
1685804166.564603,132360,90.85462951660156
1685804190.9380379,132655,90.84814453125
1685804218.8859818,132994,91.80428314208984
1685804247.6983578,133339,92.9296646118164
1685804274.314628,133666,92.94054412841797
1685804305.8643687,134027,93.96632385253906
1685804341.331678,134388,93.95311737060547
1685804374.808979,134792,93.88932037353516
1685804399.7113066,135086,93.91426086425781
